,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
111,2035.0,1025,98.0,177965.11249751152,445865282.16843057,9236736.925648484,36286.3778935995,39680951.11812865,0.0,0.0,0.0,0.0,16,,,,,d01025
112,2040.0,1025,98.0,178747.80627077338,460781595.1722041,9549752.4907553,36969.48957561,40770338.437002696,0.0,0.0,0.0,0.0,16,,,,,d01025
113,2045.0,1025,98.0,182795.62243863,477166719.46779,9892849.7093177,37833.896147,42101179.2385,0.0,0.0,0.0,0.0,16,,,,,d01025
114,2050.0,1025,98.0,189250.6434574,493946811.96046,10243778.1461055,38666.505555,43449700.8187,0.0,0.0,0.0,0.0,16,,,,,d01025
115,2055.0,1025,98.0,196736.94124178,510327054.37802,10586648.996921,39420.861748,44735972.907000005,0.0,0.0,0.0,0.0,16,,,,,d01025
116,2060.0,1025,98.0,205079.08622732005,527483096.36212,10946143.7500664,40223.953,46123543.268999994,0.0,0.0,0.0,0.0,16,,,,,d01025
117,2020.0,1027,98.0,85699.96094856001,169020048.375887,3498266.1620501,13936.143840663002,14957989.039538002,0.0,0.0,0.0,0.0,16,,,,,d01027
118,2025.0,1027,98.0,80050.15749857998,173919212.116712,3599856.985323,14388.563841631,15520781.8227618,0.0,0.0,0.0,0.0,16,,,,,d01027
119,2030.0,1027,98.0,75665.51154870499,179836439.953639,3723121.4614465297,14727.0104292159,15983498.711627511,0.0,0.0,0.0,0.0,16,,,,,d01027
120,2035.0,1027,98.0,73248.43154803201,184385739.483251,3818686.34390244,15005.886439025098,16408243.454589598,0.0,0.0,0.0,0.0,16,,,,,d01027
121,2040.0,1027,98.0,73576.55450287998,190554209.981485,3948089.0989228,15288.366545637,16858715.05380511,0.0,0.0,0.0,0.0,16,,,,,d01027
122,2045.0,1027,98.0,75248.20765,197329818.91,4089922.2912,15645.819085,17409030.6827,0.0,0.0,0.0,0.0,16,,,,,d01027
